,Accuracy,Precision,Recall,F1-Score,AUC
XGBoost,0.9317460317460318,0.9726962457337884,0.890625,0.9298531810766721,0.9699899193548387
Gradient Boosting,0.9222222222222223,0.9754385964912281,0.86875,0.9190082644628099,0.9638608870967743
Random Forest,0.9222222222222223,0.9721254355400697,0.871875,0.9192751235584844,0.9723538306451613
Logistic Regression,0.8634920634920635,0.9834710743801653,0.74375,0.8469750889679716,0.9353125
SVM,0.8777777777777778,0.9550561797752809,0.796875,0.868824531516184,0.9311088709677419
TabNet,0.9047619047619048,0.9482758620689655,0.859375,0.9016393442622951,0.9522681451612903
Voting Classifier,0.9253968253968254,0.989247311827957,0.8625,0.9215358931552587,0.9667842741935483
